Y,Bacteria,Archaea,Functional_gene_diversity,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Soil_temperature,MAT,MAP
Finland_drained_fen,11.124275,9.699903,0.412964657,4.893052,6.46668,1,10.309831,4.58493,5.28636,7.043295,7.796113,6.91365,10.024721,,,Finland_drained_fen,67.99785,24.212788,3.37,1,0.833333333,0.672933283,2.00434765,2.601563285,3.419927308,3.060842371,-0.68043131,1.572138127,0.045279504,1.656450823,1.660995816,2.279134394,0.829303773,0.1,2.633468456
Finland_fen,10.822503,10.274753,0.507148474,4.161093,5.283345,1,9.54637,6.934821,4.026363,7.306822,3.255739,6.242063,9.872794,,,Finland_fen,67.997264,24.209086,3.853333333,1,0.836666667,0.73502758,0.401591986,1.814143968,3.223890915,2.632639475,-2.102984155,1.691128663,0.374442828,1.658617247,1.284584897,2.301029996,0.784141614,0.1,2.633468456
Florida_restored_wetland_dry,9.625735,8.319922,1.160517579,6.619617,5.312723,3.884365,8.07311,6.750853,4.749589,1,7.658419,4.507978,7.621215,,,Florida_restored_wetland_dry,26.46488,-81.7782,7.13,10,0.076666667,0.23,1.036229544,1.307923704,2.696763986,1.81738906,0.875022658,-0.074000734,0.322219295,0.420505837,0.098286542,1.903089987,1.444044796,23.3,3.116275588
Florida_restored_wetland_wet,9.459032,8.566362,1.382455066,5.836818,3.698559,4.820978,7.670377,7.048683,3.562227,6.659045,7.352344,5.518537,8.986671,,,Florida_restored_wetland_wet,26.464938,-81.777874,5.673333333,10,0.063333333,0.86,-0.744727495,1.050766311,2.368082244,1.3468092,-0.755310639,0.961310331,-0.907747344,0.22184875,1.129596095,2.297760511,1.354748519,23.3,3.116275588
Florida_swamp_forest_1,11.21016,10.071584,1.392170861,7.803055,4.553145,6.171476,9.789882,9.248696,5.159905,8.400834,8.817426,6.625197,9.832434,,,Florida_swamp_forest_1,26.38,-81.58,5.403333333,4.666666667,0.659166667,0.625766667,1.730869718,2.397705426,3.885415032,2.779842906,1.861027837,0.56567076,0.366422957,1.564666064,1.183003339,2.102090526,1.306425028,23.3,3.116939647
Florida_swamp_forest_2,11.023743,10.165139,1.108406785,7.943859,6.460974,6.089339,9.687761,9.138183,5.596032,8.496535,8.940878,6.995425,9.895374,,,Florida_swamp_forest_2,26.38,-81.58,5.426666667,3.5,0.394166667,0.719875,1.894334527,2.202821947,3.732130288,2.605821115,0.765364268,-1.697164205,0.157859545,1.379335739,1.191459645,2.352825441,1.321356743,23.3,3.116939647
Florida_tomato_field,10.641077,9.044063,1.335451272,7.397491,5.98778,5.641269,9.217979,8.144268,5.082466,8.13976,7.511574,6.534203,9.1222,,,Florida_tomato_field,26.3793,-81.6018,5.553333333,10,0.143333333,0.19,0.856124444,2.008245211,3.192441068,2.088466854,0.904661458,0.111262514,0.678214783,0.812913357,0.134698574,1.903089987,1.30463412,23.3,3.122215878
France_transitional_bog_1,10.680133,9.667191,0.974896928,6.613089,5.200392,3.171411,9.318431,4.126489,5.700487,7.280119,8.369219,5.417537,9.743264,,,France_transitional_bog_1,47.32,2.23,3.226666667,2,0.748333334,0.848333334,1.847500682,2.712531854,2.629903761,2.1831844,0.565257343,1.275119316,0.226170123,1.619788758,1.393282651,2.302114377,0.994170456,11.6,2.859138297
France_transitional_bog_2,11.0752,9.435567,1.258357437,6.946074,6.63621,4.896979,9.458584,7.57339,4.66149,8.099982,8.773889,5.497487,9.831373,,,France_transitional_bog_2,47.32,2.23,3.328333334,2,0.681666667,0.893333334,1.688790475,2.529951947,2.652455861,2.136937132,-0.985759562,1.552262523,0.2596735,1.577568388,1.319829116,2.261857386,1.183269844,11.6,2.859138297
French_Pyrenees_fen,11.609926,10.817208,0.75630183,1,7.992024,6.096293,11.071261,8.794295,5.539907,7.405087,8.70261,6.749396,11.149543,,,French_Pyrenees_fen,42.8032,1.424,4.646666667,3,0.723333333,0.91,1.876140831,2.383396423,3.672734972,2.460226096,0.484442208,1.47420169,0.412180448,1.609238576,1.197058128,2.263241435,1.196820744,6.8,3.058426024
Iceland_drained_fen,9.290698,8.799001,1.257606789,2.260088,3.789017,1,7.483039,5.834275,2.743843,6.483174,4.415972,4.145637,7.486569,,,Iceland_drained_fen,64.8332,-22.916,3.96,1.571428571,0.5,0.83,0.332726932,2.437664511,2.876176587,2.650113164,0.094920115,1.331427297,0.22160051,1.447313109,1.221059444,2.187117663,0.989958062,4.5,3.037824751
Iceland_drained_fen_2,10.721089,8.419046,1.076072221,5.550164,5.74383,5.695823,9.219906,7.537126,5.121222,7.800212,9.152385,5.44413,9.506893,,,Iceland_drained_fen_2,64.28728,-15.462056,NA,NA,0.21,0.8,0.827046017,NA,NA,NA,-1.677780705,0.884682104,-0.30980392,0.834102656,1.133350014,2.176091259,1.06069784,4.4,3.16790781
