Y,Bacteria,Archaea,Functional_gene_diversity,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Soil_temperature,MAT,MAP
Tasmania_drained_fen_2,10.540681,9.703569,1.248231812,6.955507,8.221713,6.996092,10.16844,8.238935,4.363773,8.272712,8.511656,5.524191,8.398748,,,Tasmania_drained_fen_2,-40.9231,144.8703,5.765,5,0.535,0.22,1.60943432,2.519447327,3.830958976,2.659202877,2.173535895,1.129528774,0.408239965,1.469674773,1.061434807,2.008600172,1.342422681,13.1,2.990338855
Tasmania_fen,10.835136,9.939361,1.507586262,7.295973,6.916247,6.029868,9.209386,8.414742,5.44097,8.032979,8.628596,7.096785,9.850918,,,Tasmania_fen,-40.9234,144.8726,5.38,5,0.156666667,0.930377467,2.242425468,1.812824261,3.29558689,2.547528576,0.78012521,0.413076132,-0.209949526,0.976655605,1.186605131,2.26245109,1.301029996,13.1,2.990338855
Tasmania_raised_bog,10.571301,9.280984,0.967549391,5.738426,5.524976,3.878276,9.520581,5.607448,4.57481,7.064987,3.298834,6.366033,9.756176,,,Tasmania_raised_bog,-42.175597,146.578327,3.656666667,2,0.708333334,0.875,0.833678229,2.514656202,3.181014685,2.828799484,1.091432457,1.814180981,0.248382014,1.591806357,1.340099351,2.152288344,1.14561071,8.2,3.072065991
Tierra_del_Fuego_bog,9.789063,8.640743,0.467678971,4.598287,4.207372,1,8.607408,2.239481,4.534265,4.948698,5.206151,5.545374,8.785432,,,Tierra_del_Fuego_bog,-54.74044,-67.87811,2.97,1,0.787333333,0.914666667,2.002574956,2.541481059,3.194608683,2.929621209,0.531649195,1.242011073,-0.040958608,1.608361983,1.691747285,2.246498581,0.875832657,5.3,2.615950052
Tierra_del_Fuego_fen,11.070307,9.906465,0.635421804,4.679345,5.565386,2.394747,9.884265,8.654804,5.79897,8.403686,7.955479,7.011312,10.068085,,,Tierra_del_Fuego_fen,-54.74044,-67.87811,5.250666667,1,0.770666667,0.87,2.020247998,2.440568016,3.624724074,2.7297467,0.33243846,1.183326797,0.473535628,1.643741014,1.171500248,2.27600199,0.88611455,5.3,2.615950052
Uganda_drained_fen_1,11.277106,10.650594,1.541605619,8.402301,6.411385,5.156493,9.399877,8.538125,5.586593,8.316257,8.870268,6.618405,10.074996,,,Uganda_drained_fen_1,-1.342,30.0253,5.126666667,4.333333333,0.693333333,0.663333333,1.94751541,2.285309713,3.573428628,3.674148362,2.15909575,0.716559775,0.404833717,1.584243251,1.179409534,2.22184875,1.267953537,18.3,2.948412966
Uganda_drained_fen_2,11.38191,10.431403,1.483562861,8.183796,6.962741,5.854164,9.870232,8.832117,5.689991,8.610017,9.118002,6.676915,10.022104,,,Uganda_drained_fen_2,-1.2308475,29.960741,4.564166667,4.583333334,0.630833334,0.67,1.726394367,2.227196596,3.417204502,3.342296158,1.709602058,1.289161433,0.431095598,1.544956405,1.116658817,2.203214259,1.243864489,17.9,2.980684974
Uganda_fen,11.220848,10.278495,1.371560198,8.445911,5.933444,5.01736,9.617163,7.708861,5.237237,8.790013,8.38203,6.609492,10.121144,,,Uganda_fen,-1.342,30.0253,3.923333334,4.666666667,0.33,0.755,1.71213037,2.188403453,3.11588775,2.632248025,0.751920318,1.436957331,0.151267675,1.270096281,1.117127237,2.237208505,1.233841864,18.3,2.948412966
Uganda_rice_paddy,10.523195,8.801142,1.070657034,6.910633,5.650518,5.597873,9.603051,8.358446,4.901676,7.865944,7.878195,5.425498,9.279031,,,Uganda_rice_paddy,0.933862667,34.028472,4.721666667,10,0.09,0.923333333,2.16327073,2.3525266,3.33415876,2.588499535,-1.112570259,1.726322331,-0.547702329,0.521356048,1.077320318,2.307139328,1.386498966,22.6,3.104487111
Wales_blanket_bog,11.684866,10.221133,0.437559243,8.056987,6.002227,5.901908,10.019823,6.456262,6.490926,8.408206,7.447277,6.283224,10.719136,,,Wales_blanket_bog,52.9997,-3.8036,2.953333334,1.333333334,0.815,0.928333334,2.142613648,2.544677697,2.752688528,2.712573946,-0.023038984,0.704436519,0.208172527,1.640315771,1.434452574,2.298853076,0.965358514,7.6,3.174350597
Wales_drained_bog,11.67091,10.569036,0.007407952,7.714169,6.704582,5.720568,10.388977,6.861784,6.087089,7.81275,8.090763,6.362645,10.97431,,,Wales_drained_bog,52.9692,-3.8167,2.836666667,2.666666667,0.835,0.87,2.273784226,2.624192683,2.583293258,2.713887974,-0.169625217,0.269901923,0.211298567,1.662429889,1.451345925,2.275311355,0.957447649,7.6,3.176380692
Wales_fen,10.844631,10.813014,1.145843156,7.131469,5.825698,3.013002,10.223534,7.203541,6.316848,9.074877,7.911208,7.083673,10.593564,,,Wales_fen,53.0001,-3.775,3.888333334,2.666666667,0.815,0.885,2.143592434,2.552810119,3.468192198,2.471257475,-0.585026652,1.223149683,0.279514854,1.658315819,1.378792399,2.260071388,1.002885688,7.9,3.111934276
