X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Temperature_20,MAT,MAP,,,
Bashkortostan_drained_fen,55.5476,55.598,6.755,5,0.29,0.350716667,1.504130906,1.941080568,4.239001086,3.129822502,0.875504982,-0.595166283,0.097488687,1.216737545,1.107239602,2.106077519,1.225739916,4.2,2.675778342,,,
Bashkortostan_drained_floodplain_1,55.4491,55.4865,4.456666667,5,0.342222222,0.208544444,1.650954758,2.459924976,3.624783841,2.851936107,1.108437227,1.502058223,NA,1.252610341,NA,1.698970004,1.214254974,4.3,2.699837726,,,
Bashkortostan_drained_floodplain_2,55.4337,55.4497,3.821111111,5,0.29,0.417777778,1.209515015,2.221167821,3.558397868,2.955094713,1.006513581,1.060109991,0.152288344,1.212897526,1.060609182,1.698970004,1.126023118,4.3,2.691081492,,,
Bashkortostan_fen,55.4804,55.9943,6.142222222,1,0.506666667,0.93,2.335085521,2.618003909,3.95185161,3.241578852,0.077973194,1.663962533,0.200485698,1.452144363,1.245110626,2.297395711,1.272615061,4.1,2.723455672,,,
Borneo_drained_swamp,5.322965,115.6649604,2.168333333,4.75,0.784166667,0.384166667,1.050347528,1.56019566,2.341154138,2.21163217,1.1532049,1.692766161,0.142493751,1.603748643,1.462487617,2.155336037,1.472512669,27.14166667,3.522824455,,,
Borneo_swamp_forest,5.3223,115.6581,2.303333334,5,0.793333334,0.61,2.019735774,2.357780848,2.235275877,2.587645498,1.503302565,1.661039287,0.266976056,1.616134036,1.355671711,2.158362492,1.424200817,27.1,3.536558443,,,
Brazil_drained_floodplain,-28.5523,-48.8076,5.902222222,4,0.368333333,0.78625,1.852954151,2.341771848,3.75694657,2.829071372,0.746616903,1.195369139,0.282924073,1.31692507,1.035037824,2.269512944,1.312106803,21.3,3.147676324,,,
Brazil_floodplain,-28.5527,-48.8079,6.317777778,1,0.221111111,0.906468889,1.42258984,2.527204419,3.452467949,3.323917073,0.526339277,1.045444686,0.06279083,1.104145551,1.041512299,2.315503864,1.281033367,21.3,3.147676324,,,
California_drained_fen,38.0169,-121.6203,5.736666667,3,0.27,0.962606483,1.752739694,2.494465356,3.884834998,3.320859135,0.596083702,0.781108836,0.025715384,1.22976714,1.204051756,2.28780173,1.347492642,16.7,2.572871602,,,
California_fen,38.0169,-121.6203,5.356666667,3,0.266666667,0.423333333,1.901875886,2.302489665,3.64761766,3.192316505,-0.32330639,0.700991998,0.086359831,1.234625388,1.148265557,2.283301229,1.350893809,16.7,2.572871602,,,
Catalonia_transitional_bog,42.6282,0.7607,4.182222222,4,0.644444444,0.736666667,2.003790723,2.624488362,3.495276,2.216215768,1.122434336,1.144954546,0.205925784,1.52026513,1.337768714,2.065704172,1.142667504,5.4,2.944482672,,,
Colombia_drained_paramo,6.643138,-75.6655,3.941111111,4.888888889,0.725555556,0.747777778,0.745681893,2.230752538,2.164121435,1.777297909,0,1.184186511,0.325196279,1.443905911,1.118449983,2.252853031,1.215431925,11.1,3.369030222,,,
Colombia_paramo,6.6699,-75.6681,3.455555555,1,0.456666667,0.803333333,1.763427993,2.61942032,2.343496122,1.905135995,0,1.798005745,0.235808908,1.593224513,1.355986443,2.274927193,1.121669252,9.5,3.398113692,,,
Estonia_drained_floodplain,58.4236,26.5123,6.451111111,5,0.475555555,0.685555556,1.68944699,2.284631228,3.984247194,2.84118352,1.478101332,0.906454765,0.37880152,1.424573131,1.055024408,2.256343515,0.962737538,5.7,2.783903579,,,
Estonia_floodplain,58.4142,26.4839,5.18,4.777777778,0.93,0.74,1.779892974,2.314447765,3.728985597,2.850102091,0.788089773,-1.238239167,0.40936947,1.749650444,1.339573576,2.224158832,0.916161396,5.7,2.790988475,,,
Finland_drained_fen,67.99785,24.212788,3.37,1,0.833333333,0.672933283,2.00434765,2.601563285,3.419927308,3.060842371,-0.68043131,1.572138127,0.045279504,1.656450823,1.660995816,2.279134394,0.805614118,0.1,2.633468456,,,
Finland_fen,67.997264,24.209086,3.853333333,1,0.836666667,0.73502758,0.401591986,1.814143968,3.223890915,2.632639475,-2.102984155,1.691128663,0.374442828,1.658617247,1.284584897,2.301029996,0.767155866,0.1,2.633468456,,,
Florida_restored_wetland_dry,26.46488,-81.7782,7.13,10,0.076666667,0.23,1.036229544,1.307923704,2.696763986,1.81738906,0.875022658,-0.074000734,0.322219295,0.420505837,0.098286542,1.903089987,1.409369471,23.3,3.116275588,,,
Florida_restored_wetland_wet,26.464938,-81.777874,5.673333333,10,0.063333333,0.86,-0.744727495,1.050766311,2.368082244,1.3468092,-0.755310639,0.961310331,-0.907747344,0.22184875,1.129596095,2.297760511,1.341104639,23.3,3.116275588,,,
Florida_swamp_forest_1,26.38,-81.58,5.403333333,4.666666667,0.659166667,0.625766667,1.730869718,2.397705426,3.885415032,2.779842906,1.861027837,0.56567076,0.366422957,1.564666064,1.183003339,2.102090526,1.303196057,23.3,3.116939647,,,
Florida_swamp_forest_2,26.38,-81.58,5.426666667,3.5,0.394166667,0.719875,1.894334527,2.202821947,3.732130288,2.605821115,0.765364268,-1.697164205,0.157859545,1.379335739,1.191459645,2.352825441,1.320146286,23.3,3.116939647,,,
Florida_tomato_field,26.3793,-81.6018,5.553333333,10,0.143333333,0.19,0.856124444,2.008245211,3.192441068,2.088466854,0.904661458,0.111262514,0.678214783,0.812913357,0.134698574,1.903089987,1.284806584,23.3,3.122215878,,,
France_transitional_bog_1,47.32,2.23,3.226666667,2,0.748333334,0.848333334,1.847500682,2.712531854,2.629903761,2.1831844,0.565257343,1.275119316,0.226170123,1.619788758,1.393282651,2.302114377,0.970811611,11.6,2.859138297,,,
France_transitional_bog_2,47.32,2.23,3.328333334,2,0.681666667,0.893333334,1.688790475,2.529951947,2.652455861,2.136937132,-0.985759562,1.552262523,0.2596735,1.577568388,1.319829116,2.261857386,1.176091259,11.6,2.859138297,,,
French_Pyrenees_fen,42.8032,1.424,4.646666667,3,0.723333333,0.91,1.876140831,2.383396423,3.672734972,2.460226096,0.484442208,1.47420169,0.412180448,1.609238576,1.197058128,2.263241435,1.154322514,6.8,3.058426024,,,
Iceland_drained_fen,64.8332,-22.916,3.96,1.571428571,0.5,0.83,0.332726932,2.437664511,2.876176587,2.650113164,0.094920115,1.331427297,0.22160051,1.447313109,1.221059444,2.187117663,0.969815141,4.5,3.037824751,,,
