Y,Archaea;Aenigmarchaeota,Archaea;Altiarchaeota,Archaea;Asgardarchaeota,Archaea;Crenarchaeota,Archaea;Euryarchaeota,Archaea;Hadarchaeota,Archaea;Halobacterota,Archaea;Micrarchaeota,Archaea;Nanoarchaeota,Archaea;Thermoplasmatota,Bacteria;Abditibacteriota,Bacteria;Acidobacteriota,Bacteria;Actinobacteriota,Bacteria;Armatimonadota,Bacteria;Bacteroidota,Bacteria;Bdellovibrionota,Bacteria;Caldatribacteriota,Bacteria;Calditrichota,Bacteria;Campilobacterota,Bacteria;Chloroflexi,Bacteria;Cloacimonadota,Bacteria;Cyanobacteria,Bacteria;Deferrisomatota,Bacteria;Dependentiae,Bacteria;Desulfobacterota,Bacteria;Elusimicrobiota,Bacteria;Entotheonellaeota,Bacteria;FCPU426,Bacteria;Fibrobacterota,Bacteria;Firestonebacteria,Bacteria;Firmicutes,Bacteria;Fusobacteriota,Bacteria;GAL15,Bacteria;Gemmatimonadota,Bacteria;Hydrogenedentes,Bacteria;LCP-89,Bacteria;Latescibacterota,Bacteria;MBNT15,Bacteria;Margulisbacteria,Bacteria;Marinimicrobia_(SAR406_clade),Bacteria;Methylomirabilota,Bacteria;Myxococcota,Bacteria;NB1-j,Bacteria;Nitrospinota,Bacteria;Nitrospirota,Bacteria;Patescibacteria,Bacteria;Planctomycetota,Bacteria;Proteobacteria,Bacteria;RCP2-54,Bacteria;SAR324_clade(gr_B),Bacteria;Spirochaetota,Bacteria;Sumerlaeota,Bacteria;Sva0485,Bacteria;TA06,Bacteria;Verrucomicrobiota,Bacteria;WOR-1,Bacteria;WPS-2,Bacteria;WS1,Bacteria;WS2,Bacteria;WS4,Bacteria;Zixibacteria,Ascomycota,Basidiomycota,Chytridiomycota,Glomeromycota,Mortierellomycota,Mucoromycota,,X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Soil_temperature,MAT,MAP
Colombia_paramo,0.006952178,0.008163205,0.009598994,0.086848278,0.003084837,0,0.056103853,0.034839889,0.036933899,0.043674914,0.001672115,0.481571694,0.123896176,0.078272461,0.174213887,0.084479779,0.001674313,0,0.000980015,0.210274906,0,0.091347289,0,0.045759647,0.107583589,0.082749183,0,0.047457392,0.029388115,0.011641488,0.058449788,0.000934813,0.009688531,0.05040113,0.007990579,0,0.017938684,0.003361774,0.003239509,0.005412824,0.023093766,0.212274654,0.029508124,0,0.066581968,0.054618429,0.361567363,0.47122958,0.059799746,0.048362988,0.091203697,0.01411292,0.01885878,0.016767376,0.296312399,0.005193907,0.19835039,0.008934116,0.000778276,0.010613285,0.004150904,0.587431298,0.158325311,0.152288513,0.015041876,0.108214338,0.017356975,,Colombia_paramo,6.6699,-75.6681,3.455555555,1,0.456666667,0.803333333,1.763427993,2.61942032,2.343496122,1.905135995,0,1.798005745,0.235808908,1.593224513,1.355986443,2.274927193,1.151267675,9.5,3.398113692
Estonia_drained_floodplain,0.000577936,0,0,0.107857679,0.006816382,0,0.0069627,0.00137173,0.018027252,0.006681432,0.001126363,0.335025844,0.397677689,0.043689164,0.250487177,0.061685498,0.001186337,0.003339613,0.001722747,0.214048888,0.001291081,0.055983735,0.000822335,0.044022409,0.137699066,0.038850612,0.063488969,0.012341505,0.029229144,0,0.10014659,0,0.001998282,0.133797773,0.013824348,0,0.090350004,0.066706386,0,0.00050427,0.164225304,0.263469175,0.091602808,0.00512013,0.119108214,0.050210656,0.252654769,0.50594944,0.030312308,0.025819043,0.017836497,0.019373375,0.02710567,0,0.249996898,0,0.009564829,0.000570634,0.008845,0.002727179,0.015854468,0.460590774,0.233899448,0.136439527,0.057792331,0.22573085,0.014806773,,Estonia_drained_floodplain,58.4236,26.5123,6.451111111,5,0.475555555,0.685555556,1.68944699,2.284631228,3.984247194,2.84118352,1.478101332,0.906454765,0.37880152,1.424573131,1.055024408,2.256343515,0.963787827,5.7,2.783903579
Estonia_floodplain,0.007283656,0.008676644,0.003040368,0.088108418,0.068224321,0.000703087,0.054303069,0.011854018,0.0493184,0.028027654,0.001061435,0.310271618,0.255648884,0.048337779,0.275772857,0.052497734,0.006902328,0.002017916,0.013582084,0.292097466,0.00445946,0.036421179,0.002254331,0.053974844,0.210882337,0.04081525,0.037919628,0.017842634,0.035731059,0.006032175,0.116309072,0.012309331,0,0.10148304,0.015894736,0.006568687,0.077377616,0.084029211,0.003743511,0.002068572,0.130616373,0.222154625,0.094960909,0.001331882,0.122165829,0.078208936,0.248017852,0.534163242,0.041100944,0.027850886,0.080173367,0.017720961,0.096456619,0.013961286,0.250286953,0.005418809,0.010673059,0.007945815,0.015281971,0.005852628,0.02673949,0.470676752,0.231933025,0.141635628,0.022156179,0.248380908,0.023311298,,Estonia_floodplain,58.4142,26.4839,5.18,4.777777778,0.93,0.74,1.779892974,2.314447765,3.728985597,2.850102091,0.788089773,-1.238239167,0.40936947,1.749650444,1.339573576,2.224158832,0.925999266,5.7,2.790988475
Finland_drained_fen,0.00047603,0.000219693,0.002226052,0.056647173,0.018207035,0,0.040579861,0.010234351,0.026557457,0.01606165,0.006607005,0.421129594,0.206787472,0.076240146,0.284739335,0.073034415,0.002399799,0.000146481,0.00550837,0.186046218,0.000314413,0.084154664,0.00017085,0.076840411,0.131704068,0.05803827,0.000622862,0.057426445,0.045343865,0.001716819,0.073881173,0.000285179,0.000998612,0.034692015,0.006781047,0,0.022250133,0.016558301,0.001867248,0.004594962,0.016447598,0.169496343,0.002272184,0.00158088,0.093077114,0.136320663,0.235854123,0.509022798,0.071409962,0.022298455,0.125935444,0.012932824,0.024253262,0.004100144,0.330485353,0.004835675,0.070047298,0.004727899,0.001021283,0.008219815,0.001122375,0.599215163,0.487714111,0.033339454,0,0.090736611,0.008095701,,Finland_drained_fen,67.99785,24.212788,3.37,1,0.833333333,0.672933283,2.00434765,2.601563285,3.419927308,3.060842371,-0.68043131,1.572138127,0.045279504,1.656450823,1.660995816,2.279134394,0.829303773,0.1,2.633468456
Finland_fen,0.035781775,0.038572267,0.029044337,0.165417098,0.047929052,0.008560552,0.165872453,0.047687979,0.132607644,0.122039824,0.002450478,0.272001339,0.137275826,0.071858928,0.359884739,0.039492051,0.02742999,0.003944502,0.007809333,0.399463369,0.006226267,0.097809849,0,0.034394969,0.278039144,0.065728797,0,0.046886126,0.100692669,0.027088474,0.127289912,0.037323633,0,0.027084699,0.027688969,0.024429332,0.074565385,0.043857695,0.013040503,0.006889957,0.067817109,0.138003947,0.003367613,0.011451439,0.063084759,0.154052708,0.245571495,0.273867475,0.007308978,0.024177958,0.161863719,0.032804493,0.245262618,0.04466541,0.252628124,0.035855413,0.018994644,0.026928324,0.021115592,0.011637026,0.064535491,0.283379857,0.18422713,0.076284919,0.005087428,0.015176755,0,,Finland_fen,67.997264,24.209086,3.853333333,1,0.836666667,0.73502758,0.401591986,1.814143968,3.223890915,2.632639475,-2.102984155,1.691128663,0.374442828,1.658617247,1.284584897,2.301029996,0.784141614,0.1,2.633468456
Florida_restored_wetland_dry,0.021738583,0.000719729,0,0.20154331,0.046832316,0.006641937,0.128431831,0.016382926,0.066279265,0.111912282,0.006799292,0.268983076,0.169584392,0.056759998,0.192367024,0.061066602,0,0.012168481,0,0.349693058,0,0.108449841,0.008663662,0.047848102,0.134675564,0.037838507,0.110823418,0.011610068,0.027865232,0.001837088,0.150369416,0.001076143,0.043380806,0.145355487,0.010156284,0,0.08422264,0.059386409,0.001869628,0,0.186193196,0.211935191,0.068947525,0.007549192,0.181298521,0.08965663,0.22503559,0.497350643,0.037896249,0.018232194,0.043093817,0.021038611,0.092376672,0,0.119083898,0.005186951,0.013082965,0.005343301,0.008824491,0.009902204,0.055127684,0.345531146,0.157917546,0.031585148,0.021309363,0.069628946,0.028948916,,Florida_restored_wetland_dry,26.46488,-81.7782,7.13,10,0.076666667,0.23,1.036229544,1.307923704,2.696763986,1.81738906,0.875022658,-0.074000734,0.322219295,0.420505837,0.098286542,1.903089987,1.444044796,23.3,3.116275588
Florida_restored_wetland_wet,0.064501256,0.04686915,0.016130378,0.336585017,0.059950051,0.028627103,0.1474166,0.031175917,0.095516062,0.18545636,0.009538356,0.189442122,0.127562313,0.045381531,0.16479557,0.016468861,0.003745029,0.013605949,0.030430798,0.360826908,0,0.035661521,0.013674006,0.058659017,0.237692673,0.040105007,0.023347828,0.017223704,0.02147286,0,0.095445809,0.010629844,0.0365895,0.10840355,0.016300606,0.021461998,0.061245578,0.081232662,0.009827566,0,0.170798479,0.129183832,0.028682018,0.00556588,0.275399939,0.116469518,0.160860375,0.448595473,0.036764455,0.021615986,0.102054792,0.028559655,0.251747018,0.03261152,0.157375445,0.024199539,0.002162194,0.016157979,0.012284152,0.00815878,0.053385232,0.222812455,0.476393067,0,0,0,0,,Florida_restored_wetland_wet,26.464938,-81.777874,5.673333333,10,0.063333333,0.86,-0.744727495,1.050766311,2.368082244,1.3468092,-0.755310639,0.961310331,-0.907747344,0.22184875,1.129596095,2.297760511,1.354748519,23.3,3.116275588
Florida_swamp_forest_1,0.013340624,0.003113126,0.003066016,0.083710788,0.11661531,0.003086605,0.066935494,0.004690928,0.044076997,0.048991326,0.002968385,0.305791733,0.305026243,0.059070281,0.2376058,0.080937433,0.001530168,0.007259026,0.002203846,0.295871758,0.0008779,0.058945133,0.002247725,0.095805904,0.15259135,0.043574178,0.046194141,0.018838068,0.024599451,0.000938755,0.122056794,0.000631244,0.003466832,0.113626276,0.022483474,0.002078591,0.076126183,0.054706847,0.003413097,0.00259048,0.118514895,0.227560368,0.120444331,0,0.081101796,0.077958461,0.287007911,0.539775227,0.027052223,0.038323383,0.074638204,0.023021801,0.111639228,0.009680304,0.180852906,0,0.016948048,0.007308157,0.012200125,0.008775629,0.028743462,0.345299391,0.365944588,0.130854573,0.04908715,0.096951037,0.011035012,,Florida_swamp_forest_1,26.38,-81.58,5.403333333,4.666666667,0.659166667,0.625766667,1.730869718,2.397705426,3.885415032,2.779842906,1.861027837,0.56567076,0.366422957,1.564666064,1.183003339,2.102090526,1.306425028,23.3,3.116939647
Florida_swamp_forest_2,0.023049025,0.002914827,0.00753143,0.125800179,0.091861144,0.004186608,0.066593142,0.009615842,0.061352918,0.055146569,0.002726148,0.297716445,0.200903452,0.049847936,0.297181451,0.085027246,0.000959657,0.017251689,0.004338754,0.28267175,0.003287773,0.053345282,0.004162919,0.069895694,0.172965145,0.055105713,0.056045376,0.031936364,0.035497716,0.002671022,0.093615153,0.00272059,0.003719633,0.135431587,0.023136938,0.005873001,0.078948572,0.067182192,0.010052248,0.001450229,0.137947592,0.252217647,0.102331047,0.000277934,0.136211891,0.075709328,0.23317085,0.533927337,0.045537827,0.03961428,0.12331559,0.02581253,0.135802931,0.008386822,0.199204894,0.006306379,0.010215631,0.007414891,0.009354473,0.007410838,0.045455797,0.372301339,0.237957945,0.126028676,0.055034836,0.077706793,0.011073737,,Florida_swamp_forest_2,26.38,-81.58,5.426666667,3.5,0.394166667,0.719875,1.894334527,2.202821947,3.732130288,2.605821115,0.765364268,-1.697164205,0.157859545,1.379335739,1.191459645,2.352825441,1.321356743,23.3,3.116939647
Florida_tomato_field,0.008109691,0.001023465,0,0.125399585,0.051953802,0.005291319,0.045546841,0.002968004,0.020453478,0.056590879,0.003127291,0.280990609,0.317382371,0.03997487,0.226225549,0.065439498,0.003275728,0.003903144,0,0.258272952,0,0.03488863,0.009788186,0.067146828,0.131078831,0.054918359,0.078695681,0.009878738,0.02028544,0,0.214840361,0,0.031322229,0.128109347,0.010466934,0.001056953,0.063297465,0.073961078,0.002829646,0,0.203207784,0.19886099,0.061175824,0,0.13736623,0.066203499,0.208449887,0.507298581,0.051308552,0.019247104,0.036285497,0.012686014,0.124298844,0.001056953,0.283274614,0,0.013564678,0.00557328,0.005743049,0.003386883,0.007001312,0.375785934,0.138589822,0.089047086,0.213674394,0.066890097,0.068649817,,Florida_tomato_field,26.3793,-81.6018,5.553333333,10,0.143333333,0.19,0.856124444,2.008245211,3.192441068,2.088466854,0.904661458,0.111262514,0.678214783,0.812913357,0.134698574,1.903089987,1.30463412,23.3,3.122215878
