,Site,Latitude,N2O,Archaeal_amoA,nir,,,,
Y170,Borneo_drained_swamp,5.323364,224.85,8.98E+07,9.51E+08,,,,
Y171,Montana_bog_2,45.582581,-0.14,2.12E+07,1.82E+10,,,,
Y172,Montana_bog_2,45.582581,-0.47,2.56E+07,3.85E+10,,,,
Y173,Montana_bog_2,45.582581,0.00,8.11E+06,1.57E+10,,,,
Y174,Montana_Bog_1,45.524884,-1.71,0.00E+00,1.29E+10,,,,
Y175,Montana_Bog_1,45.524884,-0.61,4.69E+04,1.88E+10,,,,
Y176,Montana_Bog_1,45.524884,-0.44,1.40E+05,1.61E+10,,,,
Y177,Taiwan_recreation,22.2006,-1.07,2.02E+07,1.65E+09,,,,
Y178,Taiwan_recreation,22.2006,-1.07,5.20E+06,1.07E+09,,,,
Y179,Taiwan_fen,22.2011,-0.99,1.49E+08,6.88E+09,,,,
Y180,Taiwan_fen,22.2011,-0.99,1.13E+08,1.71E+09,,,,
Y181,Finland_fen,67.997264,-0.03,2.42E+04,5.43E+09,,,,
Y182,Finland_fen,67.997264,-0.45,3.53E+03,1.95E+09,,,,
Y183,Finland_fen,67.997264,-0.41,3.55E+04,4.14E+09,,,,
Y184,Finland_drained_fen,67.99785,-0.52,8.63E+04,9.65E+09,,,,
Y185,Finland_drained_fen,67.99785,-0.59,8.18E+04,1.59E+10,,,,
Y186,Finland_drained_fen,67.99785,-1.01,1.29E+05,3.90E+10,,,,
Y187,Finland_drained_fen,67.99785,-0.52,7.00E+04,1.57E+10,,,,
Y188,Finland_drained_fen,67.99785,-1.03,6.31E+04,2.47E+10,,,,
Y189,Finland_drained_fen,67.99785,-1.26,5.67E+04,3.12E+10,,,,
Y190,Uganda_rice_paddy,0.93371,0.00,5.35E+06,4.31E+09,,,,
Y191,Uganda_rice_paddy,0.933939,8.73,7.89E+06,3.32E+09,,,,
Y192,Uganda_rice_paddy,0.93371,2106.08,5.10E+06,4.68E+09,,,,
Y193,Uganda_rice_paddy,0.933939,96.02,2.04E+07,4.81E+09,,,,
Y194,Florida_restored_wetland_wet,26.464938,16.88,6.87E+05,5.80E+07,,,,
Y195,Florida_tomato_field,26.3793,5.20,2.50E+07,1.79E+09,,,,
Y196,Florida_restored_wetland_dry,26.46488,8.58,4.17E+06,1.24E+08,,,,
Y198,Morocco_bog_2,35.1866,0.00,1.50E+07,3.73E+09,,,,
Y199,Morocco_bog_2,35.1866,1.03,1.11E+08,1.37E+10,,,,
