Sample_name,SITE,Archaeal_diversity,Bacterial_diversity,Fungal_diversity,DistEqu,pH,MAT
KL10,Estonia_floodplain,3.36364517,7.01136283,1.599386274,58.4142,5.37,57
TK_K_III_0-10_cm,Brazil_drained_floodplain,3.62155701,6.60909891,1.591984705,28.5523,5.77,213
K_3-10,Bashkortostan_drained_floodplain_1,2.48613225,6.92421413,1.501533014,55.4491,4.38,43
Looduslik_1______0-10,Romania_bog_1,0.63651417,5.49303945,1.6473747,47.2591,2.58,59
SM3-10,Tasmania_drained_fen_1,1.15296207,6.59493726,1.171951647,40.866502,4.34,132
GBa_1-10,Wales_fen,2.65126224,5.55252226,1.641776881,53.0001,4.07,79
TW_f3_20-30,Taiwan_fen,4.96450579,7.31442499,1.595029474,22.2011,3.93,233
KL9,Estonia_floodplain,2.63023561,6.56667114,1.621604843,58.4142,5.04,57
BM2-10,Tasmania_raised_bog,2.47016722,5.51164098,1.545584789,42.1744,2.96,84
R1-2-10,Siberia_bog_forest,1.09861229,5.66120477,1.776407119,60.88,2.57,-6
MYa_17-10,Borneo_drained_swamp,2.41216469,4.45852686,1.619555291,5.323896,2.08,272
MMa10,Myanmar_drained_fen_1,3.47149026,7.1852508,1.163854576,20.64,7.39,229
RM_1_0-10,Romania_bog_forest_2,2.41446289,5.10803747,1.512389384,47.2591,2.59,59
CTp3_0-10,Catalonia_transitional_bog,1.38629436,6.77312791,1.317301863,42.6282,4.69,54
BRf_16-10,Pantanal_pasture_1,3.43319674,6.70314109,1.384184809,16.5054,4.25,265
LA_8_0-10,Morocco_bog_1,3.11632498,6.75587995,1.424995659,35.2703,4.31,179
f_13.10,Kyrgyzstan_fen_2,4.03982794,6.71200658,0.521939492,41.894,7.24,-21
f_6.10,Kyrgyzstan_fen_1,3.7090962,6.86525547,0.575289307,41.9442,5.21,-9
P2-2-10,Siberia_bog_forest,0,5.59618783,1.50909525,60.88,2.85,-6
GBk_3-10,Wales_drained_bog,2.95606741,4.8506361,1.891077158,52.9692,2.84,76
FIN_LN_C3_0-10,Finland_fen,4.30484466,6.21485496,0.690770204,67.997264,3.74,1
LG9,Montana_Bog_1,0.67301167,6.75501944,1.560837439,45.524884,4.69,41
MX_g_2-5,Mexico_chinampa_2,3.14979679,7.23030602,1.834968842,19.29,7.37,167
P2-3-10,Siberia_bog_forest,1.24245332,6.07622272,1.408227576,60.88,2.63,-6
KL_2-10,Uganda_drained_fen_2,2.94256676,6.4059374,1.355447368,1.12,3.82,180
PC2_0-10,Florida_swamp_forest_2,3.49004749,7.41915785,1.534965186,26.38,5.1,233
f_16.10,Kyrgyzstan_fen_2,3.60067232,6.90769858,0.958361315,41.894,7.24,-21
MMg01,Myanmar_drained_fen_2,3.69018801,7.36461007,1.29234623,20.64826,5.87,229
BRf_17-10,Pantanal_pasture_1,3.76074977,6.52132709,1.74387993,16.5054,4.13,265
FIN_LD_B1_10-20,Finland_drained_fen,3.15323092,5.3314725,1.483732255,67.99785,3.34,1
RL_3.1_0-10,Romania_bog_2,2.06360579,3.85850846,0.925118992,47.2591,2.52,59
R2-3-10,Siberia_bog_forest,0.63651417,5.7845255,1.55528455,60.88,2.5,-6
OII_3_0-10,Iceland_drained_fen,3.2686834,6.17674091,1.235630714,64.8332,3.88,45
K_1-10,Bashkortostan_drained_floodplain_1,2.54382763,6.70028658,1.130624825,55.4491,4.42,43
GBr_1-10,Wales_blanket_bog,3.05442614,5.66139868,1.68619611,52.9997,2.73,76
TW_f3_0-10,Taiwan_fen,2.11163084,4.95807904,1.2723756,22.2011,4.18,233
Haru3A1,Tierra_del_Fuego_bog,2.18847073,5.90052336,0.862931746,54.74044,2.92,53
f_4.10,Kyrgyzstan_fen_1,1.09861229,6.95833448,1.599959442,41.9442,5.95,-9
B3-10,Tasmania_blanket_bog,0,5.47416595,1.005273582,42.881,2.8,102
TW_f7_0-10,Taiwan_fen,3.49605589,6.87117531,1.388561346,22.2011,4.15,233
MMf09,Myanmar_fen,4.64070324,7.23548546,1.742009666,20.637093,6.26,229
MX_a_1-5,Mexico_chinampa_1,2.79493172,7.06892737,2.017839866,19.29,6.35,167
COBG-6,Colombia_drained_paramo,3.85332872,6.0342599,1.655610638,6.643138,3.93,111
f_1.10,Kyrgyzstan_fen_1,3.31265166,6.95546499,0.83138176,41.9442,7.01,-9
TW_f2_20-30,Taiwan_fen,4.78054639,7.07007427,1.45788446,22.2011,3.97,233
D3C-30,Uganda_rice_paddy,3.22975343,6.45397289,1.673516689,0.933939,4.44,226
MMa01,Myanmar_drained_fen_1,3.85449002,7.25950118,1.036196639,20.649196,7.36,229
TW_f8_0-10,Taiwan_fen,3.98267288,7.02234192,1.725904875,22.2011,4.13,233
RC_2-10,Uganda_drained_fen_1,3.67894146,7.00873757,1.730453474,1.342,5.06,183
Mets_________________0-10,Romania_bog_forest_1,2.35606242,5.11670633,1.45261103,47.2591,3.02,59
GBr_5-10,Wales_blanket_bog,2.98291109,6.0527895,1.2089876,52.9997,3.14,76
P5_0-10,French_Pyrenees_fen,3.89553921,6.78051846,1.472949211,42.8032,4.09,68
Looduslik_2______0-10,Romania_bog_1,2.23149063,5.37063961,1.859201317,47.2591,2.6,59
MMa05,Myanmar_drained_fen_1,3.8805424,7.20290173,0.837682651,20.649196,7.06,229
Awarua_3_0-10,New_Zealand_drained_fen_2,0.95027054,6.36701138,1.566559599,46.5356,5.13,107
MMa04,Myanmar_drained_fen_1,3.68981641,7.27389397,1.292363001,20.649196,6.89,229
BRf_13-10,Pantanal_pasture_1,3.66863254,6.85293734,1.370800493,16.5054,4.92,265
RH_3_0-10,Romania_bog_forest_2,1.94769357,5.63712911,1.191199064,47.2591,3.44,59
FIN_LD_C3_10-20,Finland_drained_fen,3.04300994,6.13268057,1.858429853,67.99785,3.39,1
BRf_12-10,Pantanal_pasture_1,2.78797934,7.00693017,1.334220642,16.5054,4.62,265
Vega2C1,Tierra_del_Fuego_fen,3.37857244,5.18581571,1.097471972,54.74044,5.47,53
KL5,Estonia_floodplain,3.07326801,6.63154028,1.640321524,58.4142,5.11,57
LG5,Montana_Bog_1,1.72746356,6.78832882,1.960552672,45.524884,4.74,41
KS_1-10,Uganda_drained_fen_2,3.31243446,6.80482126,1.548305568,1.12,4.01,180
MMa06,Myanmar_drained_fen_1,4.04078608,7.38240577,1.558612299,20.649196,6.75,229
MX_a_2-5,Mexico_chinampa_1,2.77244019,7.08947499,1.952034299,19.29,6.24,167
CTp5_0-10,Catalonia_transitional_bog,1.33217904,6.30540791,1.402598226,42.6282,3.79,54
MMf10,Myanmar_fen,4.4933222,7.25734082,1.610460175,20.637093,6.82,229
Heinamaa_________0-10,Romania_bog_forest_1,3.19129663,6.67928056,1.521390471,47.2591,3.7,59
KC_2-10,Uganda_drained_fen_1,3.76844509,6.52571139,1.573571446,1.1202,4.24,180
P6_0-10,French_Pyrenees_fen,3.9340589,6.7505511,0.774970176,42.8032,4.5,68
KL11,Estonia_floodplain,3.85640451,6.91623765,1.145697927,58.4142,5.4,57
