,Bacteria,Archaea,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,,,,,,,,,,
Y180,10.985641,10.773839,8.054009,5.510857,5.60401,9.198746,8.109376,5.867065,7.407649,8.158161,6.769504,9.32033,,,,,,,,,,,,
Y181,10.942062,10.409712,4.38433,5.475835,1,9.733832,7.182194,5.700009,7.622071,7.767216,6.404706,10.234371,,,,,,,,,,,,
Y182,10.683385,10.020654,3.549145,4.633911,1,9.289421,6.611299,1,7.123563,1,5.905416,9.402299,,,,,,,,,,,,
Y183,10.842063,10.393893,4.549805,5.74029,1,9.615857,7.010971,5.379081,7.174831,1,6.416067,9.981712,,,,,,,,,,,,
Y184,10.837125,8.980295,4.93586,5.794181,1,9.984391,1,5.064661,6.352602,7.038903,6.549966,9.52662,,,,,,,,,,,,
Y185,11.053768,9.294011,4.912571,6.102309,1,10.200799,1,5.128604,7.013678,7.495758,6.54493,9.850638,,,,,,,,,,,,
Y186,11.357284,9.928296,5.111625,6.877439,1,10.591433,6.132051,5.697483,7.322513,8.304751,7.549043,10.399828,,,,,,,,,,,,
Y187,10.948508,9.490741,4.844866,5.649248,1,10.19714,6.147536,5.362017,6.988886,7.794782,6.427013,9.614294,,,,,,,,,,,,
Y188,11.31477,10.259193,4.799989,6.930289,1,10.391781,6.471369,5.10008,7.267602,8.021176,7.05536,10.522517,,,,,,,,,,,,
Y189,11.234192,10.246883,4.753398,7.446616,1,10.493443,6.758623,5.365313,7.314487,8.121309,7.35559,10.234431,,,,,,,,,,,,
Y190,10.542115,8.850507,6.728148,5.098377,5.607682,9.611237,8.351621,4.753835,7.795907,8.002539,5.439023,9.18434,,,,,,,,,,,,
Y191,10.428144,8.734578,6.896821,5.656803,5.46688,9.49617,8.2748,4.786644,7.850276,7.646986,5.318169,9.134912,,,,,,,,,,,,
Y192,10.56143,8.756918,6.707777,5.791692,5.650493,9.646518,8.404263,5.123275,7.915073,7.915731,5.475686,9.397852,,,,,,,,,,,,
Y193,10.561092,8.862564,7.309786,6.055201,5.666439,9.658277,8.403102,4.942951,7.902522,7.947525,5.469115,9.39902,,,,,,,,,,,,
Y194,9.459032,8.566362,5.836818,3.698559,4.820978,7.670377,7.048683,3.562227,6.659045,7.352344,5.518537,8.986671,,,,,,,,,,,,
Y195,10.641077,9.044063,7.397491,5.98778,5.641269,9.217979,8.144268,5.082466,8.13976,7.511574,6.534203,9.1222,,,,,,,,,,,,
Y196,9.625735,8.319922,6.619617,5.312723,3.884365,8.07311,6.750853,4.749589,1,7.658419,4.507978,7.621215,,,,,,,,,,,,
Y198,10.21795,8.704707,7.174675,4.787399,3.88975,9.569099,7.383056,4.991028,7.255983,8.343053,5.894878,8.867161,,,,,,,,,,,,
Y199,10.763189,9.318733,8.043988,5.264603,4.571429,10.133546,7.882366,5.50213,7.868147,8.724694,6.49813,9.512913,,,,,,,,,,,,
